id,评论时间,用户id,昵称,评论内容
1,Wed Apr 08 17:25:36 +0800 2020,7168120424,本人想学数学,小秦棒
2,Wed Apr 08 16:03:53 +0800 2020,1654480067,probably小法,这个整得允悲允悲
3,Thu Apr 23 20:37:45 +0800 2020,2033961762,中南民族大学,很久不见分外想念
4,Thu Apr 23 23:18:46 +0800 2020,2685797051,文慧君很爱很爱夏天,这个配乐让人肃然
5,Sun May 03 04:09:00 +0800 2020,1553170053,我是404,好怀念啊我的青春我的母校
6,Tue Apr 28 21:05:37 +0800 2020,5661059214,是丘丘不是卡卡,拍得真好
7,Tue Apr 28 15:01:32 +0800 2020,5341334887,_w等风来,好久不见甚是想念心
8,Thu Apr 23 21:10:40 +0800 2020,6036112067,Eliauk_kun,想它想它想它
9,Thu Apr 23 20:52:35 +0800 2020,6641819053,会法术的人鱼公主,母校哈哈哈哈哈哈
10,Thu Apr 23 23:32:22 +0800 2020,1738336063,Reborn-Nicky,啊我的母校疫情结束就回去看看转眼毕业年了
11,Mon Apr 27 19:25:55 +0800 2020,2875366294,楚天阔turbo,好久不见甚是想念可怜
12,Fri Apr 24 14:21:02 +0800 2020,2141128944,WantMilky-Tea,悲伤虽然挂科了好难过泪但是还是好想念这里
13,Thu Apr 23 23:47:24 +0800 2020,5095646762,是LJJ不是林俊杰,母校你好心
14,Mon Apr 20 14:14:59 +0800 2020,5248126829,HeyxiaoK,什么时候才能开学呢
15,Sun May 17 19:58:52 +0800 2020,5694623383,仿_,想回去看看
16,Thu Apr 23 20:45:50 +0800 2020,3824485637,三颗大洋葱,光怪古月光怪古月
17,Sat Apr 18 22:33:57 +0800 2020,7423363705,白日梦大赛MVP,据说每个民大人的手机里都会有一张双子塔的照片和很多张南湖不同时间不同季节的照片尤其是天气好的傍晚南湖的晚霞是最漂亮的了
18,Tue Jan 26 15:53:33 +0800 2021,6625249217,七十六呀,蹲
19,Sun Jan 24 23:44:32 +0800 2021,5648212774,Kapu__,蹲
20,Wed Jan 20 22:00:12 +0800 2021,7077972553,潜在杀意-,蹲
21,Mon Jan 18 13:07:17 +0800 2021,6573910286,许幻97327,蹲
22,Wed Apr 29 10:40:51 +0800 2020,3034904973,21年转运好吗,蹲
23,Thu Apr 23 21:53:50 +0800 2020,2853244260,-Yellow洁,蹲
24,Fri Apr 17 18:48:18 +0800 2020,5532220215,VisionLiz,我也蹲一个学长学姐
25,Wed Apr 08 12:10:23 +0800 2020,7432331352,study121212_,加油加油加油推荐三个考研小程序英语恋词满分政治和猎人题库
26,Tue Apr 07 23:55:44 +0800 2020,5694376196,_cl00,我为啥把教材都退了呢
27,Wed Apr 08 07:16:35 +0800 2020,6484187927,大意了我没有学,沃日
28,Sun Apr 26 15:23:38 +0800 2020,6324320479,浅歌万花筒,欢迎来提问
29,Mon Oct 26 12:20:36 +0800 2020,5345242692,Apatheia-,您好我想问一下初试是直接看官网大纲按照教育学基础心理学这三本专业书准备还是也需要看中教史和外教史呀
30,Sat May 16 13:58:13 +0800 2020,6228683161,北白川MISAKI,你好请问一下考民大的参考书目按官网上的买还是说另有补充呢
31,Sun Jul 12 10:53:25 +0800 2020,5670007906,沅四巷,学姐还出吗
32,Sun Jun 14 15:21:37 +0800 2020,5819818247,mian醉,学姐出吗
33,Sun Jun 07 13:22:19 +0800 2020,5770060029,今天的我瘦了吗o3o,还出吗
34,Sat May 16 12:02:39 +0800 2020,6505022165,Hlleo-有事吗,还出吗小姐姐
35,Sun May 10 22:49:28 +0800 2020,6516009154,小赵一定会上岸的,你好现在还出吗
36,Sun Feb 28 18:14:03 +0800 2021,1825413813,筱筱筱草帽,求
37,Sat May 23 15:47:46 +0800 2020,6531020345,zzzzzz真不错,还出嘛学姐
38,Tue May 19 12:37:44 +0800 2020,7136317086,七娘倾听channel,学姐考上了嘛可以咨询你一点问题嘛泪
39,Tue Apr 07 18:48:27 +0800 2020,7313820854,晓华0826,好看的呀许久没有见过南湖的日落了还挺想念的嘻嘻
40,Sun Apr 05 21:03:54 +0800 2020,3764793282,一只甜甜的椰子,我就说这个图片好眼熟
41,Sat Apr 04 02:32:53 +0800 2020,5180642514,我想叫重楼,有原图吗我想做壁纸羞嗒嗒
42,Sat Apr 04 20:22:37 +0800 2020,5678822783,水每林夕,学长你猜我是谁
43,Fri Apr 03 21:51:52 +0800 2020,2033961762,中南民族大学,等待重启
44,Sat Apr 04 00:21:53 +0800 2020,2269330220,贰丁目再见,还是有想念的微L
45,Fri Apr 03 12:25:32 +0800 2020,5676931838,-8di,快开学吧太想念了
46,Fri Apr 03 11:24:30 +0800 2020,5675006685,-贰,太棒了
47,Fri Apr 03 11:26:36 +0800 2020,6030872240,-TWsvbi,III好想念
48,Fri Apr 03 23:33:22 +0800 2020,2009027695,我去送外卖啦,我要做个优秀好青年我要做个优秀好青年泪泪泪
